# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
1.193060000000000000e+05,9.341256141662597656e+00,9.333405494689941406e+00,1.372277140617370605e-01,5.836353078484535217e-02,1.352199912071228027e-02,1.805731654167175293e+00,9.639040946960449219e+00
1.193100000000000000e+05,9.377793312072753906e+00,9.193879127502441406e+00,6.921392679214477539e-02,6.832005083560943604e-02,1.762977614998817444e-02,4.774586200714111328e+00,1.422428894042968750e+01
1.193130000000000000e+05,9.586966514587402344e+00,7.952091693878173828e+00,1.352271251380443573e-02,1.352271251380443573e-02,2.537078596651554108e-02,2.421596527099609375e+00,3.074706315994262695e+00
1.193140000000000000e+05,9.080078125000000000e+00,9.382071495056152344e+00,3.051905632019042969e-01,2.711109220981597900e-01,1.475108880549669266e-02,8.231164813041687012e-01,1.315424919128417969e+01
1.193150000000000000e+05,9.099035263061523438e+00,9.113945960998535156e+00,4.671387001872062683e-02,4.461826384067535400e-02,1.354519464075565338e-02,3.277585268020629883e+00,1.427599906921386719e+01
1.193170000000000000e+05,9.017282485961914062e+00,7.958491802215576172e+00,1.492897979915142059e-02,1.492897979915142059e-02,2.801851741969585419e-02,1.636152148246765137e+00,5.215515613555908203e+00
1.193240000000000000e+05,9.526025772094726562e+00,8.021535873413085938e+00,4.616632685065269470e-02,4.616632685065269470e-02,4.800125956535339355e-02,2.203930139541625977e+00,1.067602038383483887e+00
1.193380000000000000e+05,9.154656410217285156e+00,8.356392860412597656e+00,7.358144037425518036e-03,7.358144037425518036e-03,2.160680107772350311e-02,3.198284149169921875e+00,6.705750942230224609e+00
1.193830000000000000e+05,9.135325431823730469e+00,8.432024002075195312e+00,2.704017400741577148e+00,1.151657819747924805e+00,6.061340123414993286e-02,1.755105555057525635e-01,2.544941306114196777e-01
1.421660000000000000e+05,1.173091602325439453e+01,1.234173583984375000e+01,1.672320365905761719e+01,3.028502464294433594e+00,1.364490203559398651e-02,9.457429885864257812e+00,4.070852050781250000e+02
1.421670000000000000e+05,1.164373207092285156e+01,1.186620616912841797e+01,2.245185852050781250e+01,2.126710653305053711e+00,2.916072681546211243e-02,1.100746536254882812e+01,2.518066558837890625e+02
1.421680000000000000e+05,1.123824787139892578e+01,1.101459789276123047e+01,1.436006355285644531e+01,1.008612394332885742e+00,2.345807291567325592e-02,8.501073837280273438e+00,3.950994491577148438e+01
1.421690000000000000e+05,1.112285518646240234e+01,1.061067581176757812e+01,5.078351974487304688e+00,2.108233273029327393e-01,2.626485191285610199e-02,7.145493507385253906e+00,3.037361526489257812e+01
1.421700000000000000e+05,1.052893829345703125e+01,1.056170845031738281e+01,3.403684377670288086e+00,2.301603317260742188e+00,3.040787205100059509e-02,6.214622020721435547e+00,6.783158874511718750e+01
1.421710000000000000e+05,1.046513175964355469e+01,1.009041213989257812e+01,2.280747413635253906e+00,1.166058659553527832e+00,2.832918427884578705e-02,6.205003738403320312e+00,1.483628940582275391e+01
1.421720000000000000e+05,1.052829933166503906e+01,9.896137237548828125e+00,8.768728375434875488e-01,6.184949278831481934e-01,2.938028797507286072e-02,4.914705753326416016e+00,1.511346435546875000e+01
1.421740000000000000e+05,1.000288486480712891e+01,1.014999103546142578e+01,6.658929586410522461e-01,3.581109941005706787e-01,1.872723177075386047e-02,9.289607048034667969e+00,2.016682815551757812e+01
1.421750000000000000e+05,9.983366012573242188e+00,9.401839256286621094e+00,1.363833844661712646e-01,1.360630393028259277e-01,3.110040724277496338e-02,2.474197626113891602e+00,1.297584342956542969e+01
1.421760000000000000e+05,9.733031272888183594e+00,9.565511703491210938e+00,7.645214796066284180e-01,5.632826685905456543e-01,1.840979605913162231e-02,2.323486566543579102e+00,1.287204837799072266e+01
